objectid,geoid,opportunity_value,opportunity_text,globalid,fips,access,accessibility_text,livability_value,livability_text,economic_value,economic_text,education_value,education_text,environmental_value,environmental_text,namelsad,tractid,blkarea,peropsps,votp_ind,foodscr,avgrdscr,intacsc,tranratsc,avgcrsc,cosbusc,lifeexrts,utcscr,avgnuiscr,medhmva,avgtestper,avstmort,gradrt,perbacmo,jobscrrts,medhhinc,perstrg,umrt,dslpm,ozone,pm2_5,ptraf,toxrel,ldrsk,ptsdf,pnpl,prmp,pwdis,opspczsc,vtpazsc,fodsczsc,avrdzsc,intaczsc,transczsc,avcrzsc,cosbuzsc,lifzsc,utczsc,avnuzsc,mehmvzsc,teszsc,stumozsc,grdrtzsc,baatzsc,jobzsc,mehhinzsc,stugzsc,unrtzsc,dslpmzsc,ozonezsc,pm2_5zsc,ptrafzsc,toxrezsc,ldrskzsc,ptsdfzsc,pnplzsc,prmpzsc,pwdiszsc,modifier,Shape__Area,Shape__Length
1,530530634006,-0.15491463,Moderate,557d01d0-cb78-447e-91fb-59a77a0cd9ea,530530634006,0.10312323,High,-0.69549323,Very Low,-0.03980409,Moderate,-0.13139549,Moderate,-0.01100355,Moderate,Block Group 6,53053063400,0.12325644,1,54.73441109,0.02628154,67.0206627,0.94936709,3.55711942,154.65,1,75.5,0.15,16.9,154000,0.42650007,0.12173336,0.90728493,0.15753425,2.23076923,61875,0.43219405,0,0.81233389,33.20191046,6.75251831,350.72962549,0.60539609,88.01007489,0.74789589,0.15814333,0.15115576,0,0.03580734,-0.2677648,-0.54698684,0.7901974,1.05990117,-0.4524149,-0.42812714,2.35413767,-0.16441551,-0.40749384,0.67424187,-1.00079764,0.24193833,0.15018313,0.24316159,-0.86049874,-0.43883644,-0.16890987,0.67478894,-1.12331887,-0.64346554,1.7830468,0.14975212,-0.45287947,0.39107562,0.73586769,-0.8948218,-0.93968081,-0.7731025,-0.41826844,,3421676.15332031,10552.9921510187
2,530530607003,0.12419797,High,681f388c-fe38-4877-8766-23cd8355816d,530530607003,-0.38268869,Very Low,0.0748602,Moderate,-0.1410872,Moderate,0.8938996,Very High,0.17600591,High,Block Group 3,53053060700,0.11343864,0.12869495,63.01546392,0.16538161,55.48971514,0.91192412,0.88647012,522.125,0.40995261,79,0.17,12.9,339800,0.48150006,0.08490001,0.9237538,0.60821918,1.85236769,69246,0.27449947,0.0406639,0.90448747,32.55294641,6.73908661,157.18008315,0.55894992,94.64236234,3.0641264,0.55137053,0.72630753,0,-2.32252801,0.49789189,-0.33439131,-0.17219172,0.74524644,-0.71015941,0.11655788,-0.20339463,0.25401826,-0.26190672,0.26490711,0.63512004,0.56779252,-0.35844435,0.66255005,1.98681148,-1.20044741,0.09922015,-0.23361088,-0.30326759,-0.29275553,-0.71718341,-0.02032611,-0.66171908,-0.44564152,0.99952885,0.30213146,0.98253542,-0.23076467,-0.41826844,,3160339.96508789,8069.13213464068
3,530530616021,-0.58304253,Very Low,30f18abf-a384-4456-82b8-897049ea9ee3,530530616021,0.36358542,Very High,-1.39486216,Very Low,-0.65405878,Very Low,0.10665335,High,-1.3365305,Very Low,Block Group 1,53053061602,0.4082144,0.98395268,51.05263158,0.92144904,47.48303129,0.80141844,82.85542667,2032.15,0.42577031,0,0.07,33.3,289600,0.3458213,0.13662668,0.92274817,0.35413417,2.8223597,50375,0.52222222,0.13441955,1.50344941,32.77343333,6.84205984,2851.3072746,0.66532531,65.12621211,5.78906931,0.66028899,2.98602054,0.00075298,-0.00762746,-0.60817793,0.82115491,-0.84044083,-0.18339613,3,2.3547727,-0.13483355,-3,-0.9898423,2.3525144,0.1931229,-0.23605292,0.35584337,0.63694128,0.38156843,0.75186111,-0.5872378,1.19339637,1.58746205,1.98672141,0.13227516,1.28356775,2.24523923,1.47068678,-0.17386155,1.71029411,1.51496256,1.9000257,0.85955606,,11405423.1549683,18314.1999950833
4,530530617001,-0.2262178,Low,9532fa52-e15d-4fdf-8ca6-ad45f614e559,530530617001,-0.0422366,Moderate,-0.32705076,Low,-0.33872832,Low,0.16069707,High,-0.58377041,Very Low,Block Group 1,53053061700,0.19424416,1.27636209,47.26522188,0.26063031,53.03647377,0.71384137,22.81563371,683.375,0.51558753,77.3,0.09,13.4,240100,0.34500005,0.13690002,0.92375377,0.38566553,2.18900344,48490,0.36263736,0.05084746,1.18282102,32.73815229,6.81196202,418.48070731,0.62937861,49.69338754,5.32122915,0.70058056,2.5359235,0.00064163,0.78382835,-0.95835751,-0.18881663,-0.3769427,-0.91935646,1.40622533,0.35556858,0.25447491,0.050779,-0.84425519,0.31607396,-0.24271093,-0.24091852,0.35961786,0.6625493,0.58077539,-0.5228987,-0.65580721,0.27410756,-0.0979002,0.76650191,-0.00365029,0.90245552,-0.37977618,0.82311517,-0.78738085,1.46852939,1.71192022,1.47560789,0.67058722,,5398366.47167969,10210.307846482
5,530530617005,-0.25824085,Low,d405c943-f6aa-48fe-9667-11f20b08ddfc,530530617005,-0.01613646,Moderate,-0.26267706,Low,0.02828696,Moderate,-0.27174626,Moderate,-0.76893145,Very Low,Block Group 5,53053061700,0.45928226,1.10594451,53.9556962,0.29848278,61.36700357,0.74463007,12.32352686,452.525,0.58787879,77.3,0.17,9.3,166900,0.51433813,0.13870956,0.8562501,0.22911695,3.2782471,62188,0.41260745,0.09719626,1.18282102,32.73815229,6.81196202,1498.29976063,0.62937861,75.16109086,6.22016685,0.9797143,1.23251689,0,0.32256418,-0.33976389,-0.13096428,0.31833505,-0.66062134,0.39363154,0.01339419,0.56781792,0.050779,-0.26190672,-0.10349418,-0.88721671,0.76234564,0.38460567,-1.05646713,-0.40825787,1.66942831,-0.15752407,0.56196032,0.83679607,0.76650191,-0.00365029,0.90245552,0.7853466,0.82311517,0.22506684,1.93307141,3,0.2465641,-0.41826844,,12791556.3696289,14934.5701911064
6,530530618001,-0.47716057,Very Low,0db52276-43fd-469c-b9a5-c1bf355f0158,530530618001,-0.05825539,Moderate,-0.58482427,Very Low,-0.13764824,Moderate,-0.66942318,Very Low,-0.93565177,Very Low,Block Group 1,53053061800,0.21489415,1,55.70698467,2.40564602,48.35247901,0.50558659,10.62615707,717.525,0.5678392,75.5,0.12,23.6,214100,0.31900004,0.14473335,0.8447762,0.21993127,2.69888476,46543,0.34072345,0.06459948,1.33099027,32.8305549,6.82772896,2338.72157471,0.64676837,86.93179561,4.22891655,0.58641965,1.47513969,0,0.03580734,-0.17784176,3,-0.7678755,-2.66944073,0.2298183,0.40618697,0.48095727,-0.16441551,-0.62587451,1.3598776,-0.47163374,-0.39495873,0.46778745,-1.34865597,-0.46629056,0.50334238,-0.72663195,0.14787246,0.17943095,1.3303915,0.35234448,1.10210369,1.6921602,1.13638763,0.69300158,0.90405746,1.15386637,0.47534462,-0.41826844,,5994479.6307373,10756.8883698672
7,530530618002,-0.64446706,Very Low,f72039d3-8914-49fa-97a1-c379891909f3,530530618002,-0.39026489,Very Low,-0.76953587,Very Low,-0.25165717,Low,-0.78432671,Very Low,-1.02655065,Very Low,Block Group 2,53053061800,0.10677818,1,51.20192308,0.69620653,45.15227721,0.72289157,4.29032552,561.075,0.9375,75.5,0.12,16.1,156700,0.34851379,0.1896253,0.84477622,0.2176259,1.76923077,49569,0.30594185,0.00982318,1.33099027,32.8305549,6.82772896,2816.77204675,0.64676837,83.73885627,4.80151361,0.69052112,1.10821014,0,0.03580734,-0.59437461,0.47690237,-1.03496885,-0.84330246,-0.38165314,0.17429101,2.0832344,-0.16441551,-0.62587451,0.59237492,-0.97702489,-0.22010092,1.08769528,-1.34865532,-0.48085531,-1.36777757,-0.61655713,-0.05248704,-0.92521899,1.3303915,0.35234448,1.10210369,2.20797578,1.13638763,0.56606889,1.19995716,1.66274653,0.12934938,-0.41826844,,2980559.55462646,7915.65986733507
8,530530618003,-0.55370931,Very Low,a44f6c03-e4d3-4f01-b2b2-1fe94b0104e5,530530618003,-0.56143785,Very Low,-0.32128387,Low,0.30203939,High,-0.95925562,Very Low,-1.22860861,Very Low,Block Group 3,53053061800,0.21261909,1.15835694,50.9054326,0.2729031,40.86602052,0.71538462,0.55537104,250.55,0.6918239,75.5,0.1,7.3,203200,0.35695972,0.20247204,0.8447762,0.12703102,2.375,62222,0.15506035,0.0263789,1.33099027,32.8305549,6.82772896,5891.85462024,0.64676837,84.75765973,5.51341691,0.92096509,1.01483187,0,0.46442733,-0.62178778,-0.17005933,-1.39270587,-0.90638767,-0.7421138,-0.28598062,1.01836305,-0.16441551,-0.77146163,-0.30816156,-0.56760523,-0.17006198,1.26509443,-1.34865586,-1.0532102,-0.14854234,-0.15628728,-0.9216401,-0.59134707,1.3303915,0.35234448,1.10210369,3,1.13638763,0.60657058,1.56784583,2.78922794,0.04129859,-0.41826844,,5901911.24090576,12534.3515739074
9,530530619001,-0.62858789,Very Low,4ac2474c-8597-48f8-9ca5-f784d76e03f3,530530619001,-0.17463328,Low,-0.5235338,Very Low,-0.87541712,Very Low,-0.20890856,Moderate,-1.36044668,Very Low,Block Group 1,53053061900,0.17022281,1.08157604,55.39823009,0.16621249,61.2936669,0.74898785,3.54991671,534.05,0.57142857,72.6,0.21,24.7,204500,0.40950005,0.11543334,0.84477617,0.36258993,1.78431373,26333,0.52017937,0.03194103,1.41346225,32.85425163,6.8371153,5682.81338462,0.67536652,76.44624704,4.74199132,0.60827831,2.32843992,0.00054099,0.25660678,-0.20638885,-0.33312143,0.31221427,-0.6240004,-0.45311004,0.13423355,0.49651525,-0.51111777,0.02926751,1.47244466,-0.55615909,0.14121964,0.06318696,-1.34865666,0.43498974,-1.33742002,-1.46179782,1.18162853,-0.4791779,1.64425614,0.44363965,1.22095779,3,1.6515768,0.27615718,1.16919795,1.26071822,1.2799618,0.49980437,,4753947.0411377,8622.09738903748
10,530530619002,-0.47831572,Very Low,a3d7ab48-4bff-4b93-98b3-872891c17941,530530619002,0.04615537,Moderate,-0.55404242,Very Low,-0.4157984,Low,-0.52578806,Very Low,-0.94210508,Very Low,Block Group 2,53053061900,0.23126943,0.69353242,56.58627087,0.74345171,57.50236829,0.75895765,20.29021033,827.25,0.36283186,72.6,0.16,26.6,193800,0.40950005,0.11543335,0.84477622,0.16196137,3.12318841,42614,0.52101911,0.10352941,1.41346225,32.85425163,6.8371153,1053.86222772,0.67536652,89.06579965,4.27301551,0.54963956,2.07152689,0.00017732,-0.7936993,-0.09654396,0.5491102,-0.00421286,-0.54021845,1.16249659,0.56882542,-0.40763726,-0.51111777,-0.33470028,1.66687867,-0.65036964,0.14121963,0.06318705,-1.34865546,-0.83252935,1.35734079,-0.86955459,1.18646583,0.96451397,1.64425614,0.44363965,1.22095779,0.30579932,1.6515768,0.77783716,0.92684638,0.9740739,1.03770634,-0.11734701,,6437397.63964844,12132.0048359011
